year,operator,route,ac_type,collision,registration,all_aboard,passengers_on_board,crew_aboard,passenger_fatalities,crew_fatalities,on_air_fatalities,ground,total_fatalities,countries,summary
1919,Aircraft Travel Transport,Paris - Hounslow,De Havilland Dh-4,0,G-Eahf,1,0,1,0,1,1,0,1,United Kingdom,Crashed in a field while attemptting to land.
1920,Us Aerial Mail Service,Washington - Newark,De Havilland Dh-4,0,72,1,0,1,0,1,1,0,1,United States,George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility.
1920,Handley Page Transport,London - Paris,Handley Page Hp-16,0,G-Eama,8,6,2,2,2,4,0,4,United Kingdom,The plane failed to gain altitude after taking off from Criclklewood and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..
1921,Franco-Roumaine,Warsaw - Prague - Strasbourg - Paris,Potez Ix,0,F-Adcd,5,4,1,4,1,5,0,5,France,Crashed while making an approach to Le Bourget Airport in Paris. Pilot aborted the landing due to another aircraft on the runway.
1921,West Australian Airways,Geraldton - Derby,Bristol 28 Tourer,0,G-Audi,2,0,2,0,2,2,0,2,Australia,On approach to Geraldton the plane crashed near the Murchinson River. Considered the first commercial flight in Australila.
1922,Daimler Airways / Grands Express Aeriens,Croydon - Le Bourget,De Havilland Dh-18 / Farman F-60 Goliath,1,G-Eaow/Fgead,7,5,2,5,2,7,0,7,France,"A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60."
1922,Cie Des Messageries Aeriennes,Croydon - Paris,Bleriot Spad 27,0,F-Acmh,3,2,1,2,1,3,0,3,United Kingdom,Went down into the English Channel while en route.
1922,Compagnie Franco-Roumaine De Navigaation Aerienne,Strasbourg - Paris,Potez 29,0,F-Frei,5,4,1,4,1,5,0,5,France,Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed.
1922,De Havilland Air Service,Venice - London,De Havilland Dh-9,0,G-Eayt,4,3,1,3,1,4,0,4,Italy,Shortly after taking off the plane crashed into the sea and sank.
1922,Grands Express Aeriens,Toulouse - Barcelona - Valencia - Alicante - Malaga - Rabat,Breguet 14,0,F-Alna,1,0,1,0,1,1,0,1,Morocco,While flying in foggy conditions the pilot reduced altitude and crashed into a hill.
1923,Grands Express Aeriens (Air Union),Paris - London,Farman F-60 Goliath,0,F-Aeby,6,4,2,4,2,6,0,6,France,"Broke-up in mid air after suffering structural failure at 3,000 ft. after a onboard fire weakened the plane's structure losing a wing. Possibly started by a passenger discarding a match after lighting a cigarette."
1923,Air Union,Paris - Berck-Sur-Mer - Croydon,Farman F.60 Goliath,0,F-Aecb,11,9,2,1,0,1,0,1,United Kingdom,"The aircraft lost an engine about 45 minutes into the flight. As the plane was incapable of maintaining level flight with only one engine operating, the pilot decided to make an emergency landing. He asked the mechanic to ask two passengers to move towards the rear of the aircraft. This instruction was apparently misunderstood by the passengers, as four of them moved towards the rear of the aircraft. This affected the center of gravity of the aircraft, which then entered into a spin and crashed."
1923,Daimler Airways,Croydon - Manchester,De Havilland Dh-34,0,G-Ebbs,5,3,2,3,2,5,0,5,United Kingdom,Crashed while attempting a forced landing after encountering heavy rain.
1924,Klm Royal Dutch Airlines,"Lympne, England - Rotterdam, The Netherlands",Fokker F.Iii,0,H-Nabs,3,2,1,2,1,3,0,3,United Kingdom,The aircraft disappeared over the North Sea. The plane and passengers were never found.
1924,Scadta,Barranquilla - Bogota,Junkers F-13,0,A16,5,3,2,3,2,5,0,5,Colombia,Stalled after taking off and crashed into houses..
1924,Imperial Airways,London - Paris,De Havilland Dh-34B,0,G-Ebbx,8,7,1,7,1,8,0,8,United Kingdom,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Crashed due to an unknown mechanical failure and subsiquent stall. Captain Stewart and seven passengers were killed in an attempted forced landing."
1925,Zakavia,Tiflis - Suchumi,Junkers F-13,0,R-Reca,5,3,2,3,2,5,0,5,USSR,Shortly after take off the plane went out of control and crashed in flames.
1925,Grands Express Aeriens,Alicante - Barcelona - Toulouse,Breguet 14,0,F-Afbb,3,1,2,1,2,3,0,3,Spain,"Shortly after takeoff, while flying at a low altitude, in poor visibility, the, aircraft hit a lightning rod, stalled and crashed."
1925,Klm Royal Dutch Airlines,Amsterdam - Paris,Fokker (Klm)  F.Iii,0,H-Nabm,4,3,1,3,1,4,0,4,France,"While in a turn in bad weather, the right wing struck trees and the plane crashed. Failure of an aileron in flight."
1925,Grands Express Aeriens,Oran - Alicante,Lioré-Et-Olivier Leo H-13,0,F-Frem,2,0,2,0,2,2,0,2,Spain,While attempting to land the seaplane hit a lightning mast and crashed.
1925,Lignes Aeriennes Latecoere,Toulouse - Barcelona,Breguet 14,0,F-Afbi,1,0,1,0,1,1,0,1,Spain,Crashed in unknown circumstance.
